name,shortname,prop.id,url,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,published_at,voter_participation,approval,version,comments,comment.votes
Ditto Communications Proposal for Decred: Phase 3,Ditto 3,012b4e335f25704e28ef196d650316dca421f730225d39e37b31b3c646eb8497,https://proposals.decred.org/proposals/012b4e335f25704e28ef196d650316dca421f730225d39e37b31b3c646eb8497,2425,11597,14022,2020-01-14 21:28:51,2020-01-22 17:03:17,40451,60000,6,Marketing,FALSE,Rejected,Contractor,External,fixed cost,1,2020-01-07 16:40:36,0.346641615782057,17.3,7,89,388
Decred OnChain - A Research and Charting Resource,Decred On Chain,023091831f6434f743f3a317aacf8c73a123b30d758db854a2f294c0b3341bcc,https://proposals.decred.org/proposals/023091831f6434f743f3a317aacf8c73a123b30d758db854a2f294c0b3341bcc,13250,2072,15322,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,7800,3,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,2020-05-17 18:40:22,0.38317453172281,86.5,2,71,232
Decred: the evolution of money,RFP1: Evolution of Money,02d9fc23d20017503a615459e2e0c7b333660bd5e44cde7f2c40db2ebeb986bd,https://proposals.decred.org/proposals/02d9fc23d20017503a615459e2e0c7b333660bd5e44cde7f2c40db2ebeb986bd,NA,NA,NA,NA,NA,NA,2100,1,RFP,FALSE,Live,Contractor,Internal,pro rata,0,2020-09-25 21:27:19,NA,NA,2,8,10
Facebook Manager and Events Individual Contractor Budget,Facebook account manager,063e38270b475ad680e98c12d1a48e322f4e8defe40b265272ea60c6d2202b13,https://proposals.decred.org/proposals/063e38270b475ad680e98c12d1a48e322f4e8defe40b265272ea60c6d2202b13,6526,2029,8555,2020-01-22 03:39:32,2020-01-30 04:17:43,41112,5763,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,2020-01-17 14:29:18,0.20809009534929,76.3,2,26,45
Decred Bug Bounty Proposal: Phase 2,Bug Bounty 2,073694ed82d34b2bfff51e35220e8052ad4060899b23bc25791a9383375cae70,https://proposals.decred.org/proposals/073694ed82d34b2bfff51e35220e8052ad4060899b23bc25791a9383375cae70,12020,830,12850,2019-06-23 11:19:47,2019-07-01 07:36:56,40796,6500,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,1,2019-06-15 18:16:24,0.314981860966761,93.5,3,15,41
Block Header Commitments Consensus Change,Header commitments,0a1ff846ec271184ea4e3a921a3ccd8d478f69948b984445ee1852f272d54c58,https://proposals.decred.org/proposals/0a1ff846ec271184ea4e3a921a3ccd8d478f69948b984445ee1852f272d54c58,13758,116,13874,2019-06-02 17:48:25,2019-06-10 16:15:01,41401,20000,1,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,2019-05-30 17:03:48,0.335112678437719,99.2,1,11,26
Upgrade mining algorithm to ProgPoW,ProgPoW,0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684,https://proposals.decred.org/proposals/0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684,NA,NA,NA,NA,NA,NA,0,0,Software Dev,FALSE,Abandoned,Not a Contractor,External,NA,0,2018-11-12 17:11:59,NA,NA,1,9,39
Decred  Media Campaign Proposal - Crypto Economy - 2019/2020,NA,1a367dcb91b55c60ad5fd038b219201154fcab965edd7a4639f157e409b1f4bf,https://proposals.decred.org/proposals/1a367dcb91b55c60ad5fd038b219201154fcab965edd7a4639f157e409b1f4bf,NA,NA,NA,NA,NA,NA,33600,12,Marketing,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2019-06-12 01:19:28,NA,NA,3,9,15
DECRED OFFLINE ECOSYSTEM BUILDING AND FIAT BACKING,Decred Coffee Shops,1b4b72fa08792b6500ef770546c24ee751c2b0fee2975db769722524a2754829,https://proposals.decred.org/proposals/1b4b72fa08792b6500ef770546c24ee751c2b0fee2975db769722524a2754829,317,9761,10078,2019-10-20 15:14:40,2019-10-28 14:10:34,40566,283000,0,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2019-10-04 12:40:34,0.248434649706651,3.1,6,30,92
Design domain budgets: 08.20 - 02.21,Design 1,1dc1571b1fb8a401dc90a6f8e7349998ec4459e015c8c0d4d243de05ffad8d12,https://proposals.decred.org/proposals/1dc1571b1fb8a401dc90a6f8e7349998ec4459e015c8c0d4d243de05ffad8d12,8369,2147,10516,2020-08-18 19:17:30,2020-08-26 16:08:53,41756,65000,6,Design,FALSE,Approved,Contractor,Internal,pro rata,0,2020-08-12 00:06:34,0.251844046364594,79.6,1,35,60
Video Content Production for Decred Phase 2,Exitus Video 2,1e55a417bc61a6b4890c4b73811ca0cdb10258da6d29fbe08abb794bfc84285d,https://proposals.decred.org/proposals/1e55a417bc61a6b4890c4b73811ca0cdb10258da6d29fbe08abb794bfc84285d,11994,679,12673,2020-09-14 00:48:23,2020-09-21 20:51:05,41055,16200,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,1,2020-09-03 00:54:09,0.308683473389356,94.6,1,17,44
TinyDecred: A Python Toolkit for Decred,TinyDecred,20e967dad9e7398901decf3cfe0acf4e0853f6558a62607265c63fe791b8b124,https://proposals.decred.org/proposals/20e967dad9e7398901decf3cfe0acf4e0853f6558a62607265c63fe791b8b124,12837,786,13623,2019-08-05 19:52:42,2019-08-13 19:03:25,41087,8000,0,Software Dev,TRUE,Approved,Contractor,Internal,fixed cost,0,2019-07-30 17:30:24,0.331564728502933,94.2,1,21,80
Decred Bug Bounty Program: Phase 3,Bounty 3,2170df6af2cda7d048039d893cc8438b001577989441a33709820f56df7075c0,https://proposals.decred.org/proposals/2170df6af2cda7d048039d893cc8438b001577989441a33709820f56df7075c0,12746,262,13008,2020-06-14 18:05:02,2020-06-22 12:53:19,40908,5000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,1,2020-06-01 09:57:45,0.317981812848343,98,3,8,31
Ditto Communications Proposal for Decred,Ditto 1,27f87171d98b7923a1bd2bee6affed929fa2d2a6e178b5c80a9971a92a5c7f50,https://proposals.decred.org/proposals/27f87171d98b7923a1bd2bee6affed929fa2d2a6e178b5c80a9971a92a5c7f50,26385,15875,42260,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,150000,6,Marketing,FALSE,Approved,Not a Contractor,External,fixed cost,0,2018-10-21 20:10:47,1.03178866155574,62.4,3,47,156
Trust Wallet - Integration with Decred,Trust Wallet,2ababdea7da2b3d8312a773d477272135a883ed772ba99cdf31eddb5f261d571,https://proposals.decred.org/proposals/2ababdea7da2b3d8312a773d477272135a883ed772ba99cdf31eddb5f261d571,6239,3075,9314,2019-03-26 21:41:53,2019-04-03 20:53:42,40799,3300,1,Integration,FALSE,Approved,Not a Contractor,External,fixed cost,0,2019-03-05 13:58:14,0.228289909066399,67,2,21,52
Grassroots Marketing - growing the Decred community (withDecred.org),withDecred.org,2bf72e68ff0702e4efce82dcefd0168893bae60af235f26014e5d7a7907e8255,https://proposals.decred.org/proposals/2bf72e68ff0702e4efce82dcefd0168893bae60af235f26014e5d7a7907e8255,9229,5672,14901,2020-09-28 21:54:37,2020-10-06 20:27:53,40792,6485,5,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,2020-09-16 20:09:11,0.365292214159639,61.9,6,18,39
A practical marketing opportunity - Massively boost the use case for DCR,Travala integration,2dcbc3e14c06c6e84449f5e2756b944d5ed23be41c23a9f5225f3eef424ce0ae,https://proposals.decred.org/proposals/2dcbc3e14c06c6e84449f5e2756b944d5ed23be41c23a9f5225f3eef424ce0ae,1428,8272,9700,2020-08-11 20:16:26,2020-08-19 19:20:41,41031,51500,2,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2020-07-29 01:35:02,0.236406619385343,14.7,1,15,28
i2 Trading: DCR Market Making,MM i2,2eb7ddb29f151691ba14ac8c54d53f6692c1f5e8fe06244edf7d3c33fb440bd9,https://proposals.decred.org/proposals/2eb7ddb29f151691ba14ac8c54d53f6692c1f5e8fe06244edf7d3c33fb440bd9,11401,5280,16681,2019-09-04 01:17:12,2019-09-11 21:46:09,40770,270000,6,Marketmaking,FALSE,Approved,Not a Contractor,External,fixed cost,0,2019-08-07 19:56:16,0.409148883983321,68.3,9,55,206
DCR Comic: a visual guide to Decred,DCR Comic 1,2ef74fa5f0b558442cb85b1235c8c551a51ff5d8b8de44dead48b8b59c8fc1de,https://proposals.decred.org/proposals/2ef74fa5f0b558442cb85b1235c8c551a51ff5d8b8de44dead48b8b59c8fc1de,7340,3937,11277,2019-10-16 15:31:11,2019-10-24 16:05:21,40916,10800,3,Marketing,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,2019-10-07 18:31:42,0.275613451950337,65.1,1,27,108
DCR Comic: a visual guide to Decred - Season 2,DCR Comic 2,2f08f8518bc7672069a10ac6461fd9ab341d4a9e4c343fd4a7ec426250f3896f,https://proposals.decred.org/proposals/2f08f8518bc7672069a10ac6461fd9ab341d4a9e4c343fd4a7ec426250f3896f,3926,4009,7935,2020-04-09 00:25:59,2020-04-16 21:53:26,41261,16200,7,Marketing,FALSE,Rejected,Contractor,Internal,fixed cost,1,2020-03-23 19:35:49,0.192312353069484,49.5,3,22,165
RFP: Decred Designated Market Maker,MM RFP,30822c16533890abc6e243eb6d12264b207c3923c14af42cd9b883e71c7003cd,https://proposals.decred.org/proposals/30822c16533890abc6e243eb6d12264b207c3923c14af42cd9b883e71c7003cd,14074,2093,16167,2019-08-14 21:36:21,2019-08-22 19:11:49,41356,0,0,RFP,NA,Approved,Not a Contractor,Internal,NA,0,2019-08-10 22:18:53,0.39092271979882,87.1,2,89,368
