name,shortname,prop.id,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,voter_participation,approval,comments
Ditto Communications Proposal for Decred: Phase 3,Ditto 3,012b4e335f25704e28ef196d650316dca421f730225d39e37b31b3c646eb8497,2425,11597,14022,2020-01-14 21:28:51,2020-01-22 17:03:17,40451,60000,6,Marketing,FALSE,Rejected,Contractor,External,fixed cost,1,0.346641615782057,17.3,89
Decred OnChain - A Research and Charting Resource,Decred On Chain,023091831f6434f743f3a317aacf8c73a123b30d758db854a2f294c0b3341bcc,13250,2072,15322,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,7800,3,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,0.38317453172281,86.5,71
Facebook Manager and Events Individual Contractor Budget,Facebook account manager,063e38270b475ad680e98c12d1a48e322f4e8defe40b265272ea60c6d2202b13,6526,2029,8555,2020-01-22 03:39:32,2020-01-30 04:17:43,41112,5763,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.20809009534929,76.3,26
Decred Bug Bounty Proposal: Phase 2,Bug Bounty 2,073694ed82d34b2bfff51e35220e8052ad4060899b23bc25791a9383375cae70,12020,830,12850,2019-06-23 11:19:47,2019-07-01 07:36:56,40796,6500,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,1,0.314981860966761,93.5,15
Block Header Commitments Consensus Change,Header commitments,0a1ff846ec271184ea4e3a921a3ccd8d478f69948b984445ee1852f272d54c58,13758,116,13874,2019-06-02 17:48:25,2019-06-10 16:15:01,41401,20000,1,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,0.335112678437719,99.2,11
Upgrade mining algorithm to ProgPoW,ProgPoW,0aaab331075d08cb03333d5a1bef04b99a708dcbfebc8f8c94040ceb1676e684,NA,NA,NA,NA,NA,NA,0,0,Software Dev,FALSE,Abandoned,Not a Contractor,External,NA,0,NA,NA,9
Decred  Media Campaign Proposal - Crypto Economy - 2019/2020,NA,1a367dcb91b55c60ad5fd038b219201154fcab965edd7a4639f157e409b1f4bf,NA,NA,NA,NA,NA,NA,33600,12,Marketing,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,9
DECRED OFFLINE ECOSYSTEM BUILDING AND FIAT BACKING,Decred Coffee Shops,1b4b72fa08792b6500ef770546c24ee751c2b0fee2975db769722524a2754829,317,9761,10078,2019-10-20 15:14:40,2019-10-28 14:10:34,40566,283000,0,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.248434649706651,3.1,30
Design domain budgets: 08.20 - 02.21,Design 1,1dc1571b1fb8a401dc90a6f8e7349998ec4459e015c8c0d4d243de05ffad8d12,8369,2147,10516,2020-08-18 19:17:30,2020-08-26 16:08:53,41756,65000,6,Design,FALSE,Approved,Contractor,Internal,pro rata,0,0.251844046364594,79.6,35
Video Content Production for Decred Phase 2,Exitus Video 2,1e55a417bc61a6b4890c4b73811ca0cdb10258da6d29fbe08abb794bfc84285d,11994,679,12673,2020-09-14 00:48:23,2020-09-21 20:51:05,41055,16200,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,1,0.308683473389356,94.6,17
TinyDecred: A Python Toolkit for Decred,TinyDecred,20e967dad9e7398901decf3cfe0acf4e0853f6558a62607265c63fe791b8b124,12837,786,13623,2019-08-05 19:52:42,2019-08-13 19:03:25,41087,8000,0,Software Dev,TRUE,Approved,Contractor,Internal,fixed cost,0,0.331564728502933,94.2,21
Decred Bug Bounty Program: Phase 3,Bounty 3,2170df6af2cda7d048039d893cc8438b001577989441a33709820f56df7075c0,12746,262,13008,2020-06-14 18:05:02,2020-06-22 12:53:19,40908,5000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,1,0.317981812848343,98,8
Ditto Communications Proposal for Decred,Ditto 1,27f87171d98b7923a1bd2bee6affed929fa2d2a6e178b5c80a9971a92a5c7f50,13206,7985,21191,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,150000,6,Marketing,FALSE,Approved,Not a Contractor,External,fixed cost,0,0.517383661311588,62.4,47
