"Var1","Var2","yes","no","total.votes","approval","current","yes12","yes16","yes20"
4000,0,4000,0,4000,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4100,0,4100,0,4100,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4200,0,4200,0,4200,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4300,0,4300,0,4300,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4400,0,4400,0,4400,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4500,0,4500,0,4500,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4600,0,4600,0,4600,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4700,0,4700,0,4700,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4800,0,4800,0,4800,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
4900,0,4900,0,4900,100,"Quorum not met","Quorum not met","Quorum not met","Quorum not met"
5000,0,5000,0,5000,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5100,0,5100,0,5100,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5200,0,5200,0,5200,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5300,0,5300,0,5300,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5400,0,5400,0,5400,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5500,0,5500,0,5500,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5600,0,5600,0,5600,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5700,0,5700,0,5700,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5800,0,5800,0,5800,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
5900,0,5900,0,5900,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6000,0,6000,0,6000,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6100,0,6100,0,6100,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6200,0,6200,0,6200,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6300,0,6300,0,6300,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6400,0,6400,0,6400,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6500,0,6500,0,6500,100,"Quorum not met","Quorum met","Quorum not met","Quorum not met"
6600,0,6600,0,6600,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6700,0,6700,0,6700,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6800,0,6800,0,6800,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
6900,0,6900,0,6900,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7000,0,7000,0,7000,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7100,0,7100,0,7100,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7200,0,7200,0,7200,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7300,0,7300,0,7300,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7400,0,7400,0,7400,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7500,0,7500,0,7500,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7600,0,7600,0,7600,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7700,0,7700,0,7700,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7800,0,7800,0,7800,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
7900,0,7900,0,7900,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
8000,0,8000,0,8000,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
8100,0,8100,0,8100,100,"Quorum not met","Quorum met","Quorum met","Quorum not met"
8200,0,8200,0,8200,100,"Quorum met","Quorum met","Quorum met","Quorum met"
8300,0,8300,0,8300,100,"Quorum met","Quorum met","Quorum met","Quorum met"
8400,0,8400,0,8400,100,"Quorum met","Quorum met","Quorum met","Quorum met"
8500,0,8500,0,8500,100,"Quorum met","Quorum met","Quorum met","Quorum met"
8600,0,8600,0,8600,100,"Quorum met","Quorum met","Quorum met","Quorum met"
