"","name","url","yes_votes","no_votes","total_votes","ticket_representation","voting_startdate","voting_enddate","eligible_tickets","cost","duration","domain","arrears","state","contractor","internal","author","submitted_at","published_at"
"1","Stable coin - USDD","https://proposals.decred.org/proposals/85fc65cef080cfc3564906fd3d488b827d74fc99bb29143ed8aa6c400b765be9",0,0,0,NA,NA,NA,NA,1576000,48,"Misc","FALSE","Abandoned",FALSE,"External","80d0f5e284283546a78433efa7ccf3c3d07f139a8a6175fca85bef0179e0f141",1545006621,1543932250
"2","Proposal Withdraw","https://proposals.decred.org/proposals/772d083fef79fa2e443d8424b353deadc3af69c8d8764e473cb200f98f356c60",0,0,0,NA,NA,NA,NA,295000,6,"Marketmaking","FALSE","Abandoned",FALSE,"External","0d003e0b388cb8f86f98eafa56fa69a6c0f336c5037bc5b8c7f6ea8e4c08873b",1565919077,1565204148
"3","DECRED OFFLINE ECOSYSTEM BUILDING AND FIAT BACKING","https://proposals.decred.org/proposals/1b4b72fa08792b6500ef770546c24ee751c2b0fee2975db769722524a2754829",0,0,0,NA,NA,NA,NA,283000,0,"Marketing","FALSE","Live",FALSE,"External","b35c168ed828f32e730c95949d19b1d74ce52b5ea3870db2d7bae6dd8df169bf",1571397056,1570189234
"4","Incentivizing BD Evangelists within the Decred Ecosystem","https://proposals.decred.org/proposals/cb446a469987d6603d93f442ef0d4e45bacbea47a72b5ce89f9c3cac3868d627",0,0,0,NA,NA,NA,NA,114000,12,"Marketing","FALSE","Abandoned",FALSE,"External","dd92f95dd474977f48f25dbc0f7a61f0733d9911703711187676ce8d8aad0079",1559280952,1558981422
"5","Decred  Media Campaign Proposal - Crypto Economy - 2019/2020","https://proposals.decred.org/proposals/1a367dcb91b55c60ad5fd038b219201154fcab965edd7a4639f157e409b1f4bf",0,0,0,NA,NA,NA,NA,33600,12,"Marketing","FALSE","Abandoned",FALSE,"External","6bf827030057fcc9fc6c8d4719dad36cd985014f9ebbf06aca10c0b152b5b406",1560414885,1560298768
"6","DCR Comic: a visual guide to Decred","https://proposals.decred.org/proposals/2ef74fa5f0b558442cb85b1235c8c551a51ff5d8b8de44dead48b8b59c8fc1de",0,0,0,NA,NA,NA,NA,10800,3,"Marketing","PARTIAL","Live",FALSE,"Internal","61fd66ef5eeb39a53997662796b5c0e1e47d92c8fbd540ee826cf59d9c45f746",1570465857,1570469502
"7","Supplemental Proposal For Decred Tutorials By Denni Lovejoy","https://proposals.decred.org/proposals/d8d7ff7ad138ed322422aaa4d2a3e1c61f296ae56a2c2316cc5ecd10cf8dd8bd",0,0,0,NA,NA,NA,NA,6750,0,"Marketing","TRUE","Abandoned",FALSE,"Internal","b6e65c0df66747e82d2671b95bf32b90b77d6ec29c392b71d6710bae149a59d0",1561899247,1561464197
"8","Add Decred support to Coffee Wallet","https://proposals.decred.org/proposals/45de9806c952c5ffc2fc6782fddbc74c852c26e3fb0e950144b92d75082c4731",0,0,0,NA,NA,NA,NA,6000,2,"Integration","FALSE","Abandoned",FALSE,"External","95118e6033b2f9aa19366eb5aca78b52f0e8f9cb125fddbf8629ddab500a3dbf",1543528308,1543932285
"9","Amin Rafiee: Decred Hackers Congress","https://proposals.decred.org/proposals/42b16d2741d58903963d8535e04017bbc3a8193391a83b305f44c082b62e3aa8",0,0,0,NA,NA,NA,NA,2050,0,"Marketing","TRUE","Live",FALSE,"External","cb50a534eec341f5b0f1fb50cf30e05bf15e86dcc15bb8331ae0bafd1212b033",1570123411,1570189253
"10","Testing of the funding-request mechanism by a non expert","https://proposals.decred.org/proposals/3575a65bbc3616c939acf6edf801e1168485dc864efef910034268f695351b5d",0,0,0,NA,NA,NA,NA,0.1,1,"Misc","TRUE","Abandoned",FALSE,"External","45b18597a89b30e2d6eb1b7ec0039bc3144acc39302fe19bfdf2148aefc27550",1539994684,1540149061
