"username","comments.score","number.of.comments","comments.self.upvotes","comments.upvotes.received","comments.downvotes.received","upvotes.cast","downvotes.cast","pubkey"
"jy-p",202,39,0,214,12,83,33,"e575447e1acb624bedb7c7934f291e3c1b51bb7223f2c06647e551e4cf93f360"
"bee",167,95,68,175,8,450,17,"a717216ef1999f84d71aec664b4d14f90616a09b67c7c68892b8e8fe9e8b1441"
"richard-red",162,44,31,171,9,145,9,"cd6e57b93f95dd0386d670c7ce42cb0ccd1cd5b997e87a716e9359e20251994e"
"ryanzim",129,35,0,137,8,98,36,"1f2e01bc09347d229da8260ab014223faaf48ad6e18931800d6e6c4a952f5106"
NA,90,17,0,94,4,12,12,"0746d8cd9eb00daec05891d178d8030002322fb3168309c7b75b9eea8c2a5eb9"
NA,87,12,0,99,12,42,2,"db4f9959fdc395bf2db48e1992d58d5366f05397345e3985b901b0294993a6f8"
NA,74,17,10,79,5,81,26,"5a452f52d8cf2f66a84689107273f3b3b292307877ba6d92d01bb2dfebeee236"
NA,69,25,13,71,2,52,19,"d18e6dc2871b96d4e0966f3a5d95acc3c1024b7557b15d24597080e4daa68a66"
NA,64,11,5,69,5,69,14,"f7c880cacb4bb456c2cb81b64e3ed0ae9ca1af4126bf4c31d0d5f738317a2e01"
NA,57,17,6,62,5,32,3,"6336046c6f360e4a86f360e7802a5939642f2a4b668fdc01bfeef6040608f43b"
NA,50,4,0,51,1,5,0,"937e0161deb065604266635e24506e1e79c8cbbd27c7a83483a56ff1b2293f9b"
NA,44,19,0,51,7,0,0,"9f0a8ad970275393d70d9bca8b33847c1747f9a276a0fca5b88ef51767af25fc"
NA,41,30,2,55,14,10,4,"2e7b5d746bc2765a256ca0e379be18f72d1957eb4347247a1a23ee095a57d443"
"dustorf",36,14,0,48,12,26,6,"2cfe1335346e419a3f00fc3672c1a53ebcc1c15f48d3e9e174af7356be14bc5a"
NA,36,7,1,38,2,2,0,"16ff7632bbe3e94e2c389a053feca8e757a4360f873643b2fe4f572908913090"
NA,35,14,0,39,4,38,0,"5122d5762113077bd2968b5b99f826ce54eaa52e72d0c93620351225dabd08be"
NA,31,8,3,31,0,24,0,"1f7ce5046ed6e3de08601af20c3e9ad02fe5be81cd0d6f186995ad13d3de0a73"
"karamble",30,13,3,30,0,12,3,"e0e3133b3d628b5975dc30151aa9e1c66491595d90a84f5fde5a2ef5edb4d831"
NA,26,6,6,34,8,66,3,"51a079b65d37ffa34a90ea52b92c60e818167eee597aee86b14200ce834fc5ba"
NA,26,15,7,46,20,29,5,"04eef072313a74989d19e1253709ca10ddb706b9210634da31c6c39aa92ed94c"
NA,25,6,0,25,0,4,0,"a854b650432a639cacba20b1e84627418c4a408f215c76f0754748746b436da6"
NA,24,7,2,30,6,12,2,"dbc137c9276d6f5a3dcc3422406d15cb07b3036f57308a3c6bca90648e3577ab"
NA,24,3,1,25,1,11,1,"6b6ca6070313029795d7445323b130ada779195ff8f10fd07ba9d1627460f686"
"s-z",23,32,21,58,35,70,13,"b23de44909614c81f567a3c14a223a023c092bed742ae511c031adeb7509e8d8"
"sambiohazard",22,13,0,24,2,28,2,"8b0efb1cdd09ced8194163ee0ea3b07f36c5507e90a02ca25a67bca9479448ee"
NA,18,9,0,20,2,0,0,"b719b0bee46a2fb08a1d31f5b81577f886c1d51707da860645757ea28cc19e03"
"dennilovejoy",18,17,0,21,3,0,0,"cd71155ab0f7944118e8a9ed46bdde77d4724f61f2c9ebffaf898308f0185b92"
NA,17,7,0,22,5,6,0,"d94e4e3478a69860eb90f27576cc51233e8cf04b590dd3d992e5961672694aec"
NA,16,9,2,21,5,68,7,"8c2b431683ac7d505569d0fffdebda44654a09848b2f035ded81381df812971a"
NA,16,2,0,16,0,1,0,"869772e6ac711c859fbc75920e2b7631e0f0b5977703b620e3154482e8f4a1f6"
NA,16,2,1,16,0,23,21,"49ea685dac6e302503c7d21a72086028d97a5d4aef04fcd4bbed19618e83d997"
NA,14,4,3,14,0,11,3,"4ad431a4d546ed1cd631acaf08fa47e41f4e77c45b8057d3cf6ab516f6f284dd"
NA,13,4,1,14,1,12,0,"89a8f131b0fae3858fce15fe7dfd9161062c9aa8b560f3445bc028847fa577e1"
NA,12,2,1,13,1,8,0,"561e590b88343c5ccb54b700ac686484cc392e656c66d1823842d2cbb37c0327"
NA,12,7,2,17,5,11,6,"eaea5a521038bb31a938dd44e0c8af91116ba502a86626aa006ebbb5fa8551d3"
NA,10,3,1,11,1,7,1,"19e9ecfca2b465b3cf36378888fb74c384e79b5f757db27c315b56d4091c164f"
"xiaozhu1717",10,18,-2,19,9,0,2,"e17e89ac5a0f9b6af23af0fed3bd39520b64fefe4f7c928b51fa0c2721c769ff"
NA,9,5,2,13,4,18,2,"b2c31f41943bedba9dcffcf48a3d61bff18e893558a2b3313897802efc866d10"
NA,9,4,2,11,2,12,1,"6b19278a1e5a3a21e44da5377c6ded5a91862126d18c8e08a2370affe715537d"
NA,9,1,0,9,0,11,0,"9b133a36de84c26ab98368189a2377a3707116ceac7e0424ec0cc7327e120e0e"
NA,9,3,0,9,0,3,0,"237877644b69539b119287595e39e6c758a734d207dc24a47f78e231c04c6039"
NA,9,2,0,11,2,0,0,"71836a3819239ee5fc24dfd0369e4bb9ea1d0cf3cfc49d5207cb448827b6a2fc"
NA,9,2,0,10,1,0,0,"d09566dabb226fd1dbb76b8ed234aa0cb06ae08894d7cb7c7f25743372a03545"
NA,8,2,0,8,0,24,3,"ce6fe2c062184cee549a54e33906a9fe7042fda3330aa6c2ec52dd699d9b4a92"
NA,8,1,1,8,0,55,10,"8f9a35c156fec6db14d3934ef3406926989bb2f3f3de6a47220600710d16d453"
NA,8,8,0,15,7,9,0,"c4a52c0cf07e9b57b162e8f1ee57583e8d69dea8267126152229d602df55ee42"
NA,7,4,1,11,4,3,1,"dc560fecb56d5cabd30674359cf11ade5eac722796b4806c733d03d653aab102"
NA,7,4,0,7,0,22,0,"22b54aa3030d05ebb4ab31c5c719b8fec9d979928ce517222fe80195e0d3596d"
NA,7,5,0,13,6,1,0,"52a9979d9d6953e4c962f9a2d0dcd6a074fc4802d2eb86230299f7f2628bdedf"
NA,7,3,0,10,3,3,0,"06f27bb9bcd43bd101b297f2ae0838c823e2f1fac4513c22347ab75d47bcfbc4"
NA,7,7,6,7,0,35,11,"f4902815caf342eaf8f1ca12826d49bedad71d36eebc7cff73616c696da9e09a"
NA,7,1,1,7,0,2,0,"42bfc64e233599bb6632b7cfc8d07ba4300b949e76b436cba95fd22d32623a1e"
NA,6,1,0,6,0,1,0,"c4cb0213e7528f4772ab4cc91547392343653cc25ae67dd2bef6b0e6ce8f9e58"
NA,6,2,0,6,0,8,0,"f5016f42ae94d86124fe51f7c68d8f8a7a84eb88e883a634ab41ad89553a70d8"
NA,6,2,2,6,0,12,3,"a36e0f33faa9d859cd7c746ff5ecbe22fb777b80a319056a12c2cf35b6f98c5c"
NA,6,2,0,6,0,0,0,"a57ed265125c3998009d3da0b984ee10db2a0dab5bfb6dd2fac2ff1b0018c96e"
NA,6,6,4,8,2,21,12,"b6bdc1bf37f0597a56fc32f8084f33eafb8c4754386623fc2e8251ebe0c18093"
NA,6,2,0,6,0,1,0,"33a292333a1b11ffc8854ad5b4093fce327478c39b996c31aa61a193b5ebe2d1"
NA,6,1,1,6,0,4,1,"4e62a9c45fad59c67fa627433f78f549fb2fddcb26ccde8f3802cb1573513792"
NA,6,2,0,6,0,0,0,"1fab00e1b8f990ad9a16fcdb932462118bb506311f86a32717913d9b088eee11"
NA,6,8,0,9,3,0,0,"e3363096ab32a6bc39a1ef77f629d114ca8d059c04fec76714b8602f48cadcbb"
NA,6,1,1,7,1,5,0,"459b9d7915b5d4c89ac5d7367eede8f3ff29c2a6379faba05bf05879fceaccb0"
NA,6,1,1,7,1,8,0,"67160ece43ebd1dfb6ae4c68d5772449bf9c47d39289c2a218768d02c4bebc7c"
NA,5,1,0,5,0,4,0,"3f5d5b555251e70ca8ae1c1c2ef5f03797c21f06dba38071d52a5167347ad7d7"
NA,5,1,0,5,0,0,0,"84ff60ee2cbafeffb16177e1579e8856084fdafdeda0ac993647aa0cd8cea839"
NA,5,7,0,5,0,8,0,"e4bd7728afb70aef87b6d4a01fa9e4102748d71cab69dd32f29ede71567e05c4"
NA,5,1,0,5,0,0,0,"cc0f0a8bf403d8516049d9764e49fac0cf10ce3019eac27fd980ff4ba4d582c9"
"acean",5,11,0,7,2,0,0,"3ec408dc7c50dd4dfc02c3264c4a40037ec06b05a6a802ca4a770998049c3786"
NA,5,1,1,6,1,7,0,"b138bbd191507b2552bdf9579fdc4e5e9678445113d6200a34a2df2bea82098b"
NA,5,1,1,7,2,4,1,"c4936b1db0f0fdbaa1c4271bc5d9382452b85f5bb15df75ea45c8d70a46cb2dc"
NA,4,1,0,4,0,3,1,"c07aa1fb3588902d51c9da6c888f320852dd0b51d03b70abda31b18192962c34"
NA,4,3,1,6,2,22,15,"2c4e136f3af314a87aca35107e014aa8e0a7ca9336a10b0f40697d20637d6af3"
NA,4,2,1,5,1,6,0,"80e5bc2dcad0bc9e6f31dba288f4ff7c2c2dcf22daf3b7a327e46e35eea87a6a"
NA,4,3,0,4,0,17,0,"4674d52edfa911b862565963cb279dab090649dafd0ae45df2a0864f7b5447e3"
NA,4,1,0,4,0,3,0,"4c34e3c5f4d0951f3a80ee6f18d7d89d1acdc5c279d132b7c4f7db0d9ba9ce72"
NA,4,1,0,4,0,0,0,"888b23cfbd14ae9ad9bc64031c04460a925d1abafefd3ebf73a2dffe22e66c11"
NA,4,1,0,4,0,1,0,"c4a677913e2cded47bd35c14c2207be4d6103dc83d468095b5b22fb0e4eb290b"
NA,3,1,1,3,0,6,0,"e2e30bc56c8c337bccf47f9c771ecf352c509bffc03c810c55247f87b623cd63"
NA,3,1,0,3,0,0,1,"45b18597a89b30e2d6eb1b7ec0039bc3144acc39302fe19bfdf2148aefc27550"
NA,3,3,0,3,0,0,0,"95118e6033b2f9aa19366eb5aca78b52f0e8f9cb125fddbf8629ddab500a3dbf"
NA,3,1,0,3,0,27,0,"e1016f5f45877b4c4aa85d9f7beabbe2bafbdabe0269b213d4046dc5ed61689a"
NA,3,1,0,3,0,2,0,"e169e63e6928e16c606bfdb7828c46c58399bd67bea6c87f62f40a6ccf03bf5e"
NA,3,1,1,3,0,9,3,"4a1dac4c15239df88a14cea2319022d620f7665a5ff88c8dd30a79ad9eb43cc6"
NA,3,1,0,3,0,0,0,"1db8d50c03ed1ce564c3c0c61a282c712e00d55b9f814861ba018790887bfda6"
NA,3,1,0,3,0,1,0,"98e10890d850e298f49ae269bd43a7a2b2a1752760058f063c54a80e597fe4e7"
NA,3,1,1,3,0,11,0,"7993820de6941b15a7249dde59edff200807977f93e60552ff911d247da4f13c"
NA,3,2,0,3,0,0,0,"b8a51f925fcbe4d58553e617a961c1f14be74ca83877c3725085c255ac047bb1"
NA,2,5,0,11,9,9,8,"23fe3a8aae4b6234a2bc15b2dbe9973e13287ed0849fbd5e3fd743709c737b73"
NA,2,1,1,2,0,4,3,"3b45ec0a934c32009b5ef4e2d2a8c6f96547c1d2ceaf100c0456756f1c26d0a2"
NA,2,1,0,2,0,38,1,"7b3ae340315ec26106f14235881f000551579e79d3347694a5565f5f18b101f7"
NA,2,2,0,3,1,3,0,"58270cbc020b58f49cd16253ccde81030a3efa51b431e46fc5799e2bbdb63ce4"
NA,2,2,0,2,0,0,0,"80fa09965175927e68ae4182bb9aa9b4801e9760899157f1ca9d57b54f6ca862"
NA,1,1,0,1,0,0,0,"00c09bb145ae4ddf1d5ec5a6a80e2697d081e8cf906600c3fca7a9f0e2dca0ab"
NA,1,1,1,1,0,1,0,"3063ef750fdefb59210d64c2ae0bbe5446edae465f21e1145a1224c978a61c0d"
NA,1,4,0,4,3,2,0,"5d5565d8b11a0357e19c021bcb67177e43c8eb655e4037bdfd8dc9489fc71c45"
NA,1,1,0,1,0,3,2,"ea908909ff25fe89285aeb54df68f39a9c43b988cd7e30ee0bf3c895baa25d2c"
NA,1,1,0,1,0,5,3,"88274f3fb81b459ac4db997ce32c1ee79ed77c62ed29b5dbd4b7ef4cfad6eaf1"
NA,1,1,0,1,0,23,52,"7b0907e6a9642675ea43bc54193efd607431d91394e64633ada6cf06bd7a24d1"
NA,1,1,0,1,0,2,1,"2ab21c9a6a138ff055181eccd82999b83a034299eaa21f8fd55d9e5232a4f3d3"
NA,1,1,0,1,0,3,0,"3ee82bd57234f7d2511af118c31fea6cf6abc5da87f816a48dec729d80a1afb0"
NA,1,1,0,1,0,0,0,"652399cc26886dada2c45187cf41c35b79f44c92d944cbe6c91d60de34a8a59a"
NA,1,1,0,2,1,3,1,"2e2db38b177b9429ba416dc16816421748947b10d98e7763b5d2ba35bdff683a"
NA,0,1,0,0,0,1,1,"024e2ba651a1ad43a9f882c2d4b62b3f2b07c4e41194ecdc7f941e5aa2f9a987"
NA,0,0,0,0,0,74,13,"e883d0c76c00fad164846534c6cda397d5865fac60417ae4d668bf3fea23b5d9"
NA,0,0,0,0,0,15,0,"d395a3535aa52e280e00ddbeb6bc68f8845b08bca3ceebdeb6be3f91d1331100"
NA,0,0,0,0,0,25,0,"3920d2f34fe59f30a6e2d7f8fdedd81fa9778fdc2f04b509c9a568e6c6a08222"
NA,0,0,0,0,0,18,2,"b25e1738be60bc442a53f497c7c9269ed9ea4cf453135a713a2a74f1708e8838"
NA,0,0,0,0,0,8,1,"920e710f439ca6c8d0dc4745a84343c8667030fe794b31ed1aef02573022c445"
NA,0,0,0,0,0,16,4,"455693e5be92dff7560465fb7314eb538ec5c5f00299a2535bedd5e85f622625"
NA,0,0,0,0,0,3,0,"ab3dd7607ba0045d28eeb23f26f5366aecd3b3788cef5dec2e5c775c765bf70b"
NA,0,0,0,0,0,0,1,"630ce9f4c2369c74aa34da2024bfaba45b6d8a8fbf07f440537e980a9c21357c"
NA,0,0,0,0,0,13,4,"65f3794ae96e9dad58db25e98a505db75bafc3d1e649bf03fe8baa47e08aae6d"
NA,0,1,0,0,0,0,0,"aba37050c1508afcbc9a44bb8a57343293fbeb7b71589df1f5abacb12251efd8"
NA,0,0,0,0,0,30,2,"8b7ac8696c3952ceb4ba62f6062e68210372557a3b4d860c0bc673d5b1e81fbe"
NA,0,0,0,0,0,2,0,"abeb740b30724e5af945045ed73c87f282c0ac6dc81e79ec1e99342b87d5d4bc"
NA,0,0,0,0,0,1,0,"126b64474ddbdb424e69dfe34c31685dba3cbd4f1f840c4375b522119bd768dc"
NA,0,0,0,0,0,1,0,"9ca70d0c9d8b12d6d94bf74db24aefe30471d0ba2a1f3564e296f0afb1a950af"
NA,0,0,0,0,0,24,6,"33e2e8b9fa3b2e22eb7db5beec586a7f612221e13c578ed49181b1f9ebbb62cc"
NA,0,0,0,0,0,1,1,"ad3e5ed981df83d3f3c2f24b9b51eac56d8967eb35ff9f92184a6051bb28b7cf"
NA,0,1,1,2,2,18,1,"e2b9fef5c0452bd25be3c407d83b2b4a44f62808fb83de15063db1e68692ac5f"
NA,0,0,0,0,0,6,0,"cd6d3ec6df17edfa0e95409ea9c0f48ce94d3abf585f28617f8b4f5b520384f0"
NA,0,0,0,0,0,2,0,"f64fdb195bc3717741e114b3be4f26a2d3a5eef41f6201646362b95dae9be537"
NA,0,0,0,0,0,3,1,"11dfd10f264b330ae4c998a61577d567deb6ceb4e50047ec78bb2e7bb893a991"
NA,0,0,0,0,0,4,0,"72cd670a54faf0753e9dbfb7d43df29718b0b763b031453100abc2eb51192487"
NA,0,0,0,0,0,1,1,"fec554c4bbddb0f637cb0513360b0f45ba6d09111a911132f4b9290dab386832"
