"username","comments","upvotes","downvotes","commentscore","selfvotes","score.per.comment","votes","proposals"
"bee",175,940,41,347,146,1.98,981,0
"jy-p",58,145,42,234,0,4.03,187,3
"richard-red",69,199,9,215,32,3.12,208,5
"ryanzim",63,137,59,191,0,3.03,196,0
"jz_bz",38,165,2,162,0,4.26,167,1
"s_ben",44,129,0,123,5,2.8,129,0
"nnnko56",22,14,12,113,0,5.14,26,0
"degeri",41,84,12,106,13,2.59,96,2
"oregonisaac",29,40,3,99,10,3.41,43,2
"dz_",26,92,18,85,18,3.27,110,0
"betterfuture",41,58,8,83,22,2.02,66,2
"davecgh",14,5,0,79,0,5.64,5,1
"_checkmate_",23,11,0,72,1,3.13,11,1
"praxis",13,68,11,72,5,5.54,79,0
"nottrunner",20,34,4,70,9,3.5,38,0
"sambiohazard",29,53,5,61,0,2.1,58,0
"fiach.dubh",15,47,0,54,14,3.6,47,0
"i2trading",17,0,0,53,0,3.12,0,1
"dustorf",16,21,5,46,0,2.88,26,2
"blainr",19,0,0,42,0,2.21,0,1
"lizbagot",13,0,0,42,0,3.23,0,1
"karamble",15,13,1,40,3,2.67,14,1
"chappjc",11,39,0,37,0,3.36,39,1
"guang",8,2,0,37,1,4.62,2,0
"david",7,65,3,36,7,5.14,68,0
"matheusd",7,12,1,34,1,4.86,13,0
"linnutee",10,14,3,34,2,3.4,17,0
"politicon",39,74,10,30,22,0.77,84,0
"gravityz3r0",7,5,3,30,0,4.29,8,0
"solar",9,20,6,28,5,3.11,26,0
"haon",9,8,0,27,0,3,8,0
"someone",18,0,0,26,0,1.44,0,1
"jer979",29,0,0,26,0,0.9,0,1
"rickshaw",22,32,0,24,0,1.09,32,0
"dennilovejoy",20,2,0,24,1,1.2,2,1
"tomcurranlevett",30,6,2,23,2,0.77,8,1
"grapefruittrading",9,0,0,22,0,2.44,0,1
"ftl_ian",11,0,0,22,0,2,0,1
"ski",7,12,2,21,2,3,14,0
"maxbronstein",4,0,0,20,0,5,0,0
"muststopmurad",2,0,0,19,0,9.5,0,0
"tantralabs",14,5,0,19,0,1.36,5,1
"fort3hlulz",10,12,0,18,0,1.8,12,0
"lukebp",4,35,6,18,3,4.5,41,0
"pubpete",13,26,1,18,1,1.38,27,0
"moo31337",8,1,0,17,0,2.12,1,1
